Province,District,Division,Houses Damaged,Affected
North-Western,Kurunegala,Rasnayakapura,0,374
North-Western,Kurunegala,Giribawa,1,332
North-Western,Kurunegala,Wariyapola,1,92
North-Western,Kurunegala,Kobeigane,1,40
North-Western,Kurunegala,Nikaweratiya,1,235
North-Western,Kurunegala,Bamunukotuwa,0,1
Northern,Mannar,Mannar Town,0,618
Northern,Mannar,Madhu,0,771
Northern,Mannar,Manthai West,33,458
Northern,Mannar,Nanadhan,0,584
Uva,Moneragala,Medagama,4,21
Uva,Moneragala,Katharagama,9,1332
Uva,Moneragala,Katharagama,3,1575
Uva,Moneragala,Bibile,5,183
Uva,Moneragala,Siyambalanduwa,16,72
Uva,Moneragala,Thanamalvila,25,85
Uva,Moneragala,Buttala,43,336
Uva,Moneragala,Moneragala,51,901
Uva,Moneragala,Medagama,5,43
Uva,Moneragala,Badalkumbura,0,119
Uva,Moneragala,Wellawaya,8,36
Northern,Mullaitivu,Puthukudiyiruppu,0,28831
Northern,Mullaitivu,Manthai East,0,515
Northern,Mullaitivu,Maritimepattu,0,150
Northern,Mullaitivu,Weli Oya,2,31
Northern,Mullaitivu,Oddusuddan,0,1062
Northern,Mullaitivu,Thunukkai,0,711
Northern,Mullaitivu,Weli Oya,19,210
Northern,Mullaitivu,Maritimepattu,0,5
Central,Nuwara Eliya,Nuwara Eliya,9,214
Central,Nuwara Eliya,Ambagamuwakorale,1,237
Central,Nuwara Eliya,Nuwara Eliya,0,13
Central,Nuwara Eliya,Ambagamuwakorale,1,237
Central,Nuwara Eliya,Nuwara Eliya,0,11
North-Central,Polonnaruwa,Elahera,45,476
North-Central,Polonnaruwa,Elahera,0,76
North-Central,Polonnaruwa,Thamankaduwa,0,2169
North-Central,Polonnaruwa,Dimbulagala,193,591
North-Central,Polonnaruwa,Lankapura,0,20
North-Western,Puttalam,Mundalama,2,988
North-Western,Puttalam,Kalpitiya,0,2835
North-Western,Puttalam,Vanathavilluwa,9,292
North-Western,Puttalam,Mahakumbukkadawala,3,51
North-Western,Puttalam,Nawagattegama,1,152
North-Western,Puttalam,Puttalam,1,2068
North-Western,Puttalam,Pallama,1,3
North-Western,Puttalam,Mahawewa,0,459
North-Western,Puttalam,Chilaw,2,13
North-Western,Puttalam,Vanathavilluwa,0,502
North-Western,Puttalam,Puttalam,0,260
North-Western,Puttalam,Karuwalagaswewa,0,540
North-Western,Puttalam,Anamaduwa,0,282
North-Western,Puttalam,Chilaw,0,90
Sabaragamuwa,Ratnapura,Pelmadulla,0,40
Eastern,Trincomalee,Thambalagamuwa,1,281
Eastern,Trincomalee,Verugal/ Echchalampattai,4,288
Eastern,Trincomalee,Muttur,7,269
Eastern,Trincomalee,Kinniya,48,4098
Eastern,Trincomalee,Kanthalai,12,339
Eastern,Trincomalee,Seruvila,5,18
Eastern,Trincomalee,Thambalagamuwa,3,638
Eastern,Trincomalee,Kuchchaveli,0,1992
Eastern,Trincomalee,Verugal/ Echchalampattai,0,464
Eastern,Trincomalee,Kinniya,6,2910
Eastern,Trincomalee,Kanthalai,1,3
Eastern,Trincomalee,Kuchchaveli,0,2116
Eastern,Trincomalee,Thambalagamuwa,1,5
Eastern,Trincomalee,Seruvila,0,105
Northern,Vavuniya,Vengalacheddikulam,45,142
Northern,Vavuniya,Vavuniya North,17,721
Northern,Vavuniya,Vengalacheddikulam,89,596
Eastern,Trincomalee,Trincomalee Town and Gravets,0,2
Eastern,Trincomalee,Thambalagamuwa,1,281
Northern,Mannar,Musalai,0,1096
Uva,Moneragala,Badalkumbura,14,56
Central,Kandy,Pathadumbara,2,8
Sabaragamuwa,Kegalle,Ruwanwella,0,6
Sabaragamuwa,Kegalle,Warakapola,53,222
Sabaragamuwa,Kegalle,Galigamuwa,254,1160
Sabaragamuwa,Kegalle,Kegalle,10,88
Southern,Galle,Neluwa,21,85
Southern,Galle,Thawalama,27,98
North-Western,Kurunegala,Narammala,0,186
North-Western,Kurunegala,Weerambugedara,0,11
North-Western,Kurunegala,Alawwa,0,12
North-Western,Kurunegala,Mawathagama,0,29
North-Western,Kurunegala,Pannala,0,190
Southern,Matara,Hakmana,10,40
Southern,Matara,Kotapola,145,770
Southern,Matara,Pitabeddara,13,48
Southern,Matara,Dickwella,2,7
Western,Colombo,Padukka,0,359
Sabaragamuwa,Kegalle,Yatiyanthota,9,35
Sabaragamuwa,Ratnapura,Pelmadulla,846,3619
Sabaragamuwa,Ratnapura,Opanayaka,27,622
Sabaragamuwa,Ratnapura,Elapatha,42,660
Central,Kandy,Pasbage Korale,0,443
Central,Nuwara Eliya,Nuwara Eliya,177,903
Central,Nuwara Eliya,Ambagamuwakorale,98,662
Southern,Matara,Pasgoda,25,100
Sabaragamuwa,Ratnapura,Ratnapura,37,1102
Sabaragamuwa,Ratnapura,Kahawatta,0,100
Sabaragamuwa,Ratnapura,Kiriella,5,644
Sabaragamuwa,Ratnapura,Kalawana,1,2
Sabaragamuwa,Ratnapura,Nivithigala,8,253
Sabaragamuwa,Ratnapura,Balangoda,3,63
Sabaragamuwa,Ratnapura,Kuruvita,1,222
Western,Gampaha,Mirigama,0,0
Western,Gampaha,Gampaha,3,166
Western,Gampaha,Attanagalla,3,366
Western,Gampaha,Minuwangoda,0,95
Western,Gampaha,Mahara,1,70
Western,Gampaha,Katana,0,420
Western,Gampaha,Kelaniya,0,9821
Western,Gampaha,Kelaniya,0,12408
Western,Gampaha,Attanagalla,0,116
Western,Gampaha,Mahara,10,572
Western,Gampaha,Ja-Ela,7,1270
Western,Gampaha,Negombo,0,2892
Western,Gampaha,Wattala,70,19580
Western,Gampaha,Gampaha,6,341
Western,Gampaha,Ja-Ela,8,1270
Western,Gampaha,Katana,9,420
North-Western,Puttalam,Arachchikattuwa,4,19
North-Western,Puttalam,Dankotuwa,0,153
North-Western,Puttalam,Nattandiya,0,26
North-Western,Puttalam,Wennappuwa,4,674
North-Western,Puttalam,Dankotuwa,5,200
North-Western,Puttalam,Dankotuwa,5,252
North-Western,Puttalam,Nattandiya,1,270
North-Western,Puttalam,Nattandiya,0,847
North-Western,Puttalam,Mahawewa,0,1400
North-Western,Puttalam,Madampe,0,42
Central,Kandy,Doluwa,1,7
Eastern,Trincomalee,Verugal/ Echchalampattai,1,2
North-Western,Puttalam,Chilaw,3,9
Northern,Jaffna,Nallur,1,4
Northern,Jaffna,Valikamam East (Kopay),4,12
Northern,Jaffna,Valikamam North(Tellipallai),0,12
Northern,Jaffna,Vadamaradchi North (Point Pedr,7,37
Northern,Jaffna,Valikamam South -West (Sandili,1,4
Northern,Jaffna,Vadamaradchi South-west (Karav,3,14
Northern,Jaffna,Island North(Kayts),1,2
Northern,Kilinochchi,Karachchi,0,4
Sabaragamuwa,Ratnapura,Kahawatta,5,21
Northern,Jaffna,Vadamaradchi North (Point Pedr,11,26
Northern,Jaffna,Vadamaradchi North (Point Pedr,5,20
Northern,Jaffna,Kareinagar,1,7
Northern,Jaffna,Vadamaradchi North (Point Pedr,12,42
Northern,Jaffna,Vadamaradchi South-west (Karav,41,164
Northern,Jaffna,Valikamam North(Tellipallai),0,5
Northern,Jaffna,Valikamam South (Uduvil),1,4
Northern,Jaffna,Island North(Kayts),3,8
Northern,Jaffna,Vadamaradchi East (Maruthnkern,0,5
Northern,Jaffna,Thenmaradchi (Chavakachcheri),5,14
Northern,Jaffna,Valikamam East (Kopay),1,2
Northern,Jaffna,Valikamam North(Tellipallai),0,168
Northern,Jaffna,Valikamam South -West (Sandili,0,62
Northern,Jaffna,Valikamam North(Tellipallai),0,17
Northern,Jaffna,Valikamam South -West (Sandili,9,181
Northern,Kilinochchi,Pachchilaipalli,0,104
Eastern,Trincomalee,Padavi Sri Pura,12,55
North-Western,Puttalam,Puttalam,5,1786
North-Western,Puttalam,Chilaw,0,6152
North-Western,Puttalam,Arachchikattuwa,0,279
North-Central,Polonnaruwa,Dimbulagala,0,16
North-Central,Polonnaruwa,Dimbulagala,0,16
North-Central,Polonnaruwa,Thamankaduwa,0,109
North-Central,Polonnaruwa,Welikanda,2,235
North-Central,Polonnaruwa,Lankapura,0,107
Eastern,Trincomalee,Thambalagamuwa,0,183
Eastern,Trincomalee,Seruvila,0,33
Eastern,Trincomalee,Kinniya,0,388
Eastern,Batticaloa,Koralai Pattu Central,1,470
Eastern,Batticaloa,Porativu Pattu (Ellavul),0,9
Eastern,Batticaloa,Koralai Pattu West (Oddamavadi,0,480
Eastern,Batticaloa,Koralai Pattu (Valachchenai),0,1157
Eastern,Batticaloa,Koralai Pattu South (Kiran),2,3230
Eastern,Batticaloa,Eravur Pattu (Chenkalady),2,5538
Eastern,Batticaloa,Manmunai West(Vavunatheivu),0,85
Eastern,Batticaloa,Manmunai North (Batti Town),1,24877
Eastern,Batticaloa,Kattankudy,0,5868
Eastern,Batticaloa,Manmunai South - West (Peddipe,1,152
Eastern,Batticaloa,Manmunai South & Eruvilpattu (,1,11
Eastern,Batticaloa,Porativu Pattu (Ellavul),0,21
Eastern,Batticaloa,Koralai Pattu North(Vakarai),2,1930
Eastern,Batticaloa,Eravur Town (Eravur),0,120
Eastern,Batticaloa,Manmunai Pattu (Araipattai),0,87
Eastern,Ampara,Karativu,0,28
Eastern,Ampara,Alayadiwembu,0,300
Eastern,Ampara,Kalmunai,0,46
Eastern,Ampara,Uhana,0,3
Eastern,Ampara,Eragama,0,11
Sabaragamuwa,Kegalle,Kegalle,0,1
North-Central,Polonnaruwa,Welikanda,0,3
North-Central,Anuradhapura,Nuwaragam Palatha East,0,2
Uva,Moneragala,Moneragala,0,1
Northern,Jaffna,Kareinagar,0,2
Northern,Jaffna,Kareinagar,0,11
Northern,Jaffna,Vadamaradchi North (Point Pedr,7,276
Northern,Jaffna,Thenmaradchi (Chavakachcheri),57,210
Northern,Jaffna,Valikamam South -West (Sandili,7,184
Northern,Jaffna,Vadamaradchi East (Maruthnkern,0,435
Northern,Jaffna,Valikamam East (Kopay),2,9
Northern,Jaffna,Kareinagar,0,560
Northern,Jaffna,Island North(Kayts),1,60
Central,Kandy,Harispattuwa,3,13
North-Western,Puttalam,Chilaw,0,900
Eastern,Batticaloa,Koralai Pattu West (Oddamavadi,0,188
Eastern,Batticaloa,Koralai Pattu (Valachchenai),0,856
Eastern,Batticaloa,Koralai Pattu South (Kiran),2,2680
Eastern,Batticaloa,Eravur Pattu (Chenkalady),0,8292
Eastern,Batticaloa,Eravur Town (Eravur),0,2474
Eastern,Batticaloa,Manmunai North (Batti Town),0,13258
Eastern,Batticaloa,Kattankudy,0,18712
Eastern,Batticaloa,Manmunai Pattu (Araipattai),0,3480
Eastern,Batticaloa,Manmunai South - West (Peddipe,0,20
Eastern,Batticaloa,Manmunai South & Eruvilpattu (,0,58
Eastern,Batticaloa,Porativu Pattu (Ellavul),0,104
Eastern,Batticaloa,Koralai Pattu Central,4,2592
Eastern,Batticaloa,Eravur Pattu (Chenkalady),1,2670
Eastern,Batticaloa,Kattankudy,1,9998
Eastern,Batticaloa,Manmunai Pattu (Araipattai),1,5671
Eastern,Batticaloa,Manmunai South - West (Peddipe,1,227
Eastern,Batticaloa,Porativu Pattu (Ellavul),1,482
Eastern,Batticaloa,Eravur Town (Eravur),0,5200
Eastern,Batticaloa,Manmunai North (Batti Town),0,13232
Eastern,Batticaloa,Manmunai South & Eruvilpattu (,1,3053
Eastern,Batticaloa,Koralai Pattu South (Kiran),1,148
Eastern,Batticaloa,Manmunai West(Vavunatheivu),0,15
Sabaragamuwa,Kegalle,Kegalle,6,20
Eastern,Trincomalee,Kuchchaveli,0,4482
Eastern,Trincomalee,Padavi Sri Pura,1,3
Eastern,Trincomalee,Seruvila,1,4
Eastern,Trincomalee,Thambalagamuwa,1,4
Eastern,Trincomalee,Kinniya,4,22
Eastern,Trincomalee,Kanthalai,0,0
North-Central,Polonnaruwa,Hingurakgoda,0,14
Northern,Mannar,Mannar Town,0,231
Northern,Mannar,Madhu,0,285
Northern,Mannar,Manthai West,0,323
Northern,Kilinochchi,Karachchi,14,944
Northern,Kilinochchi,Kandavalai,2,833
Northern,Kilinochchi,Poonakary,3,284
Northern,Kilinochchi,Pachchilaipalli,0,666
Northern,Mullaitivu,Maritimepattu,2,19
Northern,Mullaitivu,Weli Oya,0,152
Northern,Mullaitivu,Puthukudiyiruppu,0,3
North-Central,Anuradhapura,Nuwaragam Palatha Central,0,7
North-Central,Anuradhapura,Nuwaragam Palatha East,0,112
Sabaragamuwa,Kegalle,Dehiovita,3,98
Southern,Hambantota,Thissamaharama,1,77
Northern,Kilinochchi,Pachchilaipalli,1,4
Uva,Moneragala,Moneragala,0,2
Sabaragamuwa,Ratnapura,Pelmadulla,70,261
Sabaragamuwa,Ratnapura,Godakawela,4,29
Sabaragamuwa,Ratnapura,Kahawatta,21,88
Sabaragamuwa,Ratnapura,Nivithigala,0,66
North-Western,Kurunegala,Narammala,0,2
Northern,Mannar,Mannar Town,0,1
Uva,Moneragala,Badalkumbura,0,2
Sabaragamuwa,Ratnapura,Pelmadulla,3,13
Sabaragamuwa,Kegalle,Deraniyagala,6,25
Sabaragamuwa,Kegalle,Ruwanwella,0,299
Sabaragamuwa,Kegalle,Dehiovita,117,831
North-Western,Kurunegala,Narammala,0,301
North-Western,Kurunegala,Pannala,2,202
North-Western,Kurunegala,Bingiriya,0,31
North-Western,Kurunegala,Alawwa,0,55
North-Western,Kurunegala,Polgahawela,1,228
North-Western,Kurunegala,Weerambugedara,0,17
North-Western,Kurunegala,Nikaweratiya,0,24
North-Western,Puttalam,Chilaw,0,485
North-Western,Puttalam,Arachchikattuwa,0,266
North-Western,Puttalam,Nattandiya,4,150
North-Western,Puttalam,Dankotuwa,3,25
North-Western,Puttalam,Wennappuwa,0,294
North-Western,Puttalam,Pallama,1,39
Western,Gampaha,Kelaniya,5,8654
Western,Gampaha,Attanagalla,8,3502
Western,Gampaha,Wattala,35,11193
Western,Gampaha,Mahara,22,616
Western,Gampaha,Divulapitiya,12,113
Western,Gampaha,Minuwangoda,3,371
Western,Gampaha,Mirigama,13,965
Western,Gampaha,Dompe,97,405
Western,Gampaha,Biyagama,17,9117
Western,Gampaha,Negombo,6,174
Western,Gampaha,Gampaha,13,0
Western,Gampaha,Katana,8,637
Western,Gampaha,Ja-Ela,8,3229
Southern,Hambantota,Ambalantota,0,34
Western,Colombo,Sri Jayawardanapura Kotte,0,175
Western,Colombo,Hanwella,9,1184
Western,Colombo,Kaduwela,160,3576
Western,Colombo,Kolonnawa,15,6130
Western,Colombo,Moratuwa,14,58
Western,Colombo,Colombo,5,1833
Western,Colombo,Thimbirigasyaya,4,250
Western,Colombo,Homagama,31,850
Western,Colombo,Kesbewa,6,24
Western,Colombo,Padukka,4,15
Western,Colombo,Ratmalana,3,9
Western,Colombo,Dehiwala,5,25
Western,Colombo,Maharagama,9,30
Southern,Galle,Nagoda,43,2100
Southern,Galle,Thawalama,150,562
Southern,Galle,Yakkalamulla,8,758
Southern,Galle,Galle Four Gravets,8,176
Southern,Galle,Neluwa,25,135
Southern,Galle,Niyagama,15,48
Southern,Galle,Elpitiya,13,154
Southern,Galle,Imaduwa,18,67
Southern,Matara,Matara Four Gravets,12,44
Southern,Matara,Kamburupitiya,14,53
Southern,Matara,Pitabeddara,8,28
Southern,Matara,Akuressa,21,1636
Southern,Matara,Kirinda Puhulwella,2,4
Southern,Matara,Athuraliya,40,1035
Eastern,Trincomalee,Gomarankadawala,4,16
Western,Gampaha,Wattala,8,4876
Western,Gampaha,Biyagama,14,318
Western,Gampaha,Dompe,23,91
Central,Nuwara Eliya,Ambagamuwakorale,0,168
Sabaragamuwa,Ratnapura,Ratnapura,5,2322
Sabaragamuwa,Ratnapura,Elapatha,0,378
Sabaragamuwa,Ratnapura,Kuruvita,0,7
Sabaragamuwa,Ratnapura,Pelmadulla,46,174
Sabaragamuwa,Ratnapura,Kiriella,0,40
Central,Nuwara Eliya,Ambagamuwakorale,0,401
Central,Kandy,Pasbage Korale,0,1104
Sabaragamuwa,Ratnapura,Kalawana,29,93
Sabaragamuwa,Ratnapura,Elapatha,18,1129
Sabaragamuwa,Ratnapura,Ratnapura,23,7792
Sabaragamuwa,Ratnapura,Pelmadulla,25,89
Western,Gampaha,Wattala,7,53043
Western,Gampaha,Ja-Ela,11,16661
Western,Gampaha,Biyagama,36,16241
Western,Gampaha,Katana,4,12611
Western,Gampaha,Mahara,17,5200
Western,Gampaha,Gampaha,19,10521
Western,Gampaha,Minuwangoda,15,1631
Western,Gampaha,Dompe,11,1158
Western,Gampaha,Kelaniya,3,39418
Western,Gampaha,Negombo,0,581
Western,Gampaha,Attanagalla,15,3889
Western,Gampaha,Mirigama,21,589
Western,Gampaha,Divulapitiya,11,1198
Western,Colombo,Sri Jayawardanapura Kotte,0,2820
Western,Colombo,Homagama,28,1580
Western,Colombo,Kaduwela,0,8324
Western,Colombo,Kolonnawa,0,44588
Western,Colombo,Thimbirigasyaya,0,1448
Western,Colombo,Hanwella,1,958
Western,Colombo,Colombo,0,5160
Western,Colombo,Maharagama,0,216
Western,Colombo,Padukka,0,218
Sabaragamuwa,Ratnapura,Kalawana,8,29
Sabaragamuwa,Ratnapura,Nivithigala,0,7
Sabaragamuwa,Ratnapura,Ratnapura,0,64
Sabaragamuwa,Ratnapura,Ratnapura,1,7
Sabaragamuwa,Ratnapura,Eheliyagoda,401,1602
Sabaragamuwa,Ratnapura,Ayagama,3,140
Sabaragamuwa,Ratnapura,Elapatha,3,530
Sabaragamuwa,Ratnapura,Elapatha,1,3
Sabaragamuwa,Ratnapura,Kiriella,3,2437
Sabaragamuwa,Ratnapura,Kiriella,0,2046
North-Western,Puttalam,Chilaw,3,7399
North-Western,Puttalam,Madampe,6,1908
North-Western,Puttalam,Mundalama,8,1216
North-Western,Puttalam,Dankotuwa,3,802
North-Western,Puttalam,Mahakumbukkadawala,10,693
North-Western,Puttalam,Wennappuwa,5,2148
North-Western,Puttalam,Puttalam,1,2241
North-Western,Puttalam,Mahawewa,0,190
North-Western,Puttalam,Anamaduwa,2,43
North-Western,Puttalam,Arachchikattuwa,9,1167
North-Western,Puttalam,Mahawewa,16,3557
North-Western,Puttalam,Nattandiya,23,8407
North-Western,Puttalam,Puttalam,6,143
North-Western,Puttalam,Karuwalagaswewa,3,37
North-Western,Puttalam,Vanathavilluwa,2,40
Central,Nuwara Eliya,Nuwara Eliya,1,301
Sabaragamuwa,Kegalle,Yatiyanthota,8,38
Sabaragamuwa,Kegalle,Ruwanwella,3,106
Sabaragamuwa,Kegalle,Rambukkana,1,12
Sabaragamuwa,Kegalle,Galigamuwa,4,12
Sabaragamuwa,Kegalle,Mawanella,10,51
Sabaragamuwa,Kegalle,Dehiovita,1,31
Sabaragamuwa,Kegalle,Deraniyagala,3,13
North-Western,Kurunegala,Bingiriya,3,496
North-Western,Kurunegala,Pannala,0,1424
North-Western,Kurunegala,Paduwasnuwara west,0,1
North-Western,Kurunegala,Paduwasnuwara west,0,411
North-Western,Kurunegala,Kobeigane,0,54
North-Western,Kurunegala,Udubaddawa,0,732
North-Western,Kurunegala,Narammala,0,275
North-Western,Kurunegala,Alawwa,1,31
North-Western,Kurunegala,Kuliyapitiya West,0,208
Sabaragamuwa,Ratnapura,Eheliyagoda,2,7
Sabaragamuwa,Ratnapura,Kuruvita,20,144
Sabaragamuwa,Kegalle,Deraniyagala,21,87
Sabaragamuwa,Kegalle,Aranayaka,3,375
Sabaragamuwa,Kegalle,Mawanella,10,38
Central,Nuwara Eliya,Ambagamuwakorale,0,229
Central,Kandy,Pasbage Korale,17,1962
Central,Kandy,Ganga Ihala Korale,31,180
Central,Kandy,Pasbage Korale,0,0
Sabaragamuwa,Ratnapura,Elapatha,1,32
Sabaragamuwa,Ratnapura,Elapatha,0,22
Central,Nuwara Eliya,Nuwara Eliya,1,13
Northern,Jaffna,Valikamam South -West (Sandili,0,70
Northern,Jaffna,Island North(Kayts),1,4
Northern,Jaffna,Valikamam North(Tellipallai),1,15
Northern,Jaffna,Valikamam West (Chankanai),0,158
Northern,Jaffna,Vadamaradchi North (Point Pedr,1,61
Northern,Jaffna,Vadamaradchi North (Point Pedr,2,8
Northern,Jaffna,Valikamam West (Chankanai),2,5
Northern,Jaffna,Valikamam South (Uduvil),0,17
Northern,Jaffna,Vadamaradchi East (Maruthnkern,0,10
Northern,Jaffna,Delft,2,27
Northern,Jaffna,Island South (Velanai),1,6
Northern,Jaffna,Island North(Kayts),0,726
Northern,Jaffna,Kareinagar,3,541
Northern,Jaffna,Jaffna,5,4389
Northern,Jaffna,Nallur,25,4766
Northern,Jaffna,Valikamam South -West (Sandili,5,2752
Northern,Jaffna,Valikamam West (Chankanai),25,3646
Northern,Jaffna,Valikamam South (Uduvil),19,513
Northern,Jaffna,Valikamam North(Tellipallai),57,1643
Northern,Jaffna,Valikamam East (Kopay),19,3498
Northern,Jaffna,Thenmaradchi (Chavakachcheri),57,2537
Northern,Jaffna,Vadamaradchi South-west (Karav,6,3982
Northern,Jaffna,Vadamaradchi North (Point Pedr,11,5663
Northern,Jaffna,Vadamaradchi East (Maruthnkern,41,555
Northern,Jaffna,Jaffna,0,17
Northern,Jaffna,Valikamam South -West (Sandili,1,1
Northern,Jaffna,Kareinagar,1,632
Uva,Badulla,Hali-Ela,74,406
Uva,Badulla,Welimada,8,34
Uva,Badulla,Ella,86,646
Uva,Badulla,Haldummulla,6,32
Uva,Badulla,Soranathota,5,20
Uva,Badulla,Passara,75,388
Uva,Badulla,Badulla,348,1473
Uva,Badulla,Bandarawela,31,144
Uva,Badulla,Lunugala,1,6
Uva,Badulla,Rideemaliyadda,1,6
Uva,Badulla,Uva Paranagama,4,17
North-Western,Puttalam,Mundalama,66,27619
North-Western,Puttalam,Karuwalagaswewa,39,1836
North-Western,Puttalam,Wennappuwa,36,3178
North-Western,Puttalam,Vanathavilluwa,107,7509
North-Western,Puttalam,Puttalam,32,43926
North-Western,Puttalam,Mahakumbukkadawala,53,1988
North-Western,Puttalam,Dankotuwa,8,746
North-Western,Puttalam,Anamaduwa,18,539
North-Western,Puttalam,Madampe,25,4221
North-Western,Puttalam,Arachchikattuwa,18,9444
North-Western,Puttalam,Chilaw,12,26759
North-Western,Puttalam,Kalpitiya,1,13423
North-Western,Puttalam,Pallama,17,281
North-Western,Puttalam,Nawagattegama,0,17
North-Western,Puttalam,Mahawewa,0,4437
North-Western,Puttalam,Nattandiya,0,4499
Northern,Mannar,Mannar Town,2,16087
Northern,Mannar,Nanadhan,1,39
Northern,Mannar,Manthai West,0,1092
Northern,Mannar,Mannar Town,0,525
Northern,Mannar,Nanadhan,0,27
Northern,Mannar,Manthai West,0,88
Northern,Mannar,Musalai,0,628
Central,Matale,Ukuwela,0,13
Central,Matale,Matale,0,111
North-Central,Anuradhapura,Rajanganaya,0,75
North-Central,Anuradhapura,Nochchiyagama,0,145
North-Central,Anuradhapura,Mahavilachchiya,0,323
Northern,Kilinochchi,Karachchi,1,35
Northern,Kilinochchi,Kandavalai,1,5
Northern,Kilinochchi,Poonakary,2,7
Northern,Kilinochchi,Pachchilaipalli,0,140
Western,Gampaha,Biyagama,4,0
Western,Gampaha,Dompe,4,0
Western,Gampaha,Gampaha,3,4
Western,Gampaha,Mahara,3,0
North-Central,Anuradhapura,Rajanganaya,0,766
North-Central,Anuradhapura,Nochchiyagama,0,1422
North-Central,Anuradhapura,Mahavilachchiya,0,426
North-Central,Anuradhapura,Thambuttegama,0,80
North-Central,Anuradhapura,Nuwaragam Palatha Central,0,1123
North-Western,Kurunegala,Panduwasnuwara East,1,4
North-Western,Kurunegala,Narammala,1,3
North-Western,Kurunegala,Rideegama,0,34
North-Western,Kurunegala,Polgahawela,0,700
North-Western,Kurunegala,Alawwa,0,49
North-Western,Kurunegala,Udubaddawa,0,9
North-Western,Kurunegala,Pannala,0,316
