Division,Month,Affected
KATTANKUDY,1,9998
MANMUNAI PATTU (ARAIPATTAI),1,5671
MANMUNAI SOUTH - WEST (PEDDIPE,1,227
PORATIVU PATTU (ELLAVUL),1,482
ERAVUR TOWN (ERAVUR),1,5200
MANMUNAI NORTH (BATTI TOWN),1,13232
MANMUNAI SOUTH & ERUVILPATTU (,1,3053
KORALAI PATTU SOUTH (KIRAN),1,148
MANMUNAI WEST(VAVUNATHEIVU),1,15
KEGALLE,1,20
KUCHCHAVELI,1,4482
PADAVI SRI PURA,1,3
SERUVILA,1,4
THAMBALAGAMUWA,1,4
KINNIYA,1,22
HINGURAKGODA,1,14
MANNAR TOWN,1,231
MADHU,1,285
MANTHAI WEST,1,323
KARACHCHI,1,944
KANDAVALAI,1,833
POONAKARY,1,284
PACHCHILAIPALLI,1,666
MARITIMEPATTU,1,19
WELI OYA,1,152
PUTHUKUDIYIRUPPU,1,3
NUWARAGAM PALATHA CENTRAL,1,7
NUWARAGAM PALATHA EAST,1,112
DEHIOVITA,3,98
THISSAMAHARAMA,3,77
PACHCHILAIPALLI,4,4
MONERAGALA,4,2
PELMADULLA,5,261
GODAKAWELA,5,29
KAHAWATTA,5,88
NIVITHIGALA,5,66
NARAMMALA,3,2
MANNAR TOWN,3,1
BADALKUMBURA,4,2
PELMADULLA,5,13
DERANIYAGALA,5,25
RUWANWELLA,5,299
DEHIOVITA,5,831
NARAMMALA,5,301
PANNALA,5,202
BINGIRIYA,5,31
ALAWWA,5,55
POLGAHAWELA,5,228
WEERAMBUGEDARA,5,17
NIKAWERATIYA,5,24
CHILAW,5,485
ARACHCHIKATTUWA,5,266
NATTANDIYA,5,150
DANKOTUWA,5,25
WENNAPPUWA,5,294
PALLAMA,5,39
KELANIYA,5,8654
ATTANAGALLA,5,3502
WATTALA,5,11193
MAHARA,5,616
DIVULAPITIYA,5,113
MINUWANGODA,5,371
MIRIGAMA,5,965
DOMPE,5,405
BIYAGAMA,5,9117
NEGOMBO,5,174
KATANA,5,637
JA-ELA,5,3229
AMBALANTOTA,5,34
SRI JAYAWARDANAPURA KOTTE,5,175
HANWELLA,5,1184
KADUWELA,5,3576
KOLONNAWA,5,6130
MORATUWA,5,58
COLOMBO,5,1833
THIMBIRIGASYAYA,5,250
HOMAGAMA,5,850
KESBEWA,5,24
PADUKKA,5,15
RATMALANA,5,9
DEHIWALA,5,25
MAHARAGAMA,5,30
NAGODA,5,2100
THAWALAMA,5,562
YAKKALAMULLA,5,758
GALLE FOUR GRAVETS,5,176
NELUWA,5,135
NIYAGAMA,5,48
ELPITIYA,5,154
IMADUWA,5,67
MATARA FOUR GRAVETS,5,44
KAMBURUPITIYA,5,53
PITABEDDARA,5,28
AKURESSA,5,1636
KIRINDA PUHULWELLA,5,4
ATHURALIYA,5,1035
GOMARANKADAWALA,5,16
WATTALA,5,4876
BIYAGAMA,5,318
DOMPE,5,91
AMBAGAMUWAKORALE,5,168
RATNAPURA,5,2322
ELAPATHA,5,378
KURUVITA,5,7
PELMADULLA,5,174
KIRIELLA,5,40
AMBAGAMUWAKORALE,7,401
PASBAGE KORALE,7,1104
KALAWANA,7,93
ELAPATHA,7,1129
RATNAPURA,7,7792
PELMADULLA,7,89
WATTALA,6,53043
JA-ELA,6,16661
BIYAGAMA,6,16241
KATANA,6,12611
MAHARA,6,5200
GAMPAHA,6,10521
MINUWANGODA,6,1631
DOMPE,6,1158
KELANIYA,6,39418
NEGOMBO,6,581
ATTANAGALLA,6,3889
MIRIGAMA,6,589
DIVULAPITIYA,6,1198
SRI JAYAWARDANAPURA KOTTE,6,2820
HOMAGAMA,6,1580
KADUWELA,6,8324
KOLONNAWA,6,44588
THIMBIRIGASYAYA,6,1448
HANWELLA,6,958
COLOMBO,6,5160
MAHARAGAMA,6,216
PADUKKA,6,218
KALAWANA,6,29
NIVITHIGALA,6,7
RATNAPURA,6,64
RATNAPURA,6,7
EHELIYAGODA,6,1602
AYAGAMA,6,140
ELAPATHA,6,530
ELAPATHA,6,3
KIRIELLA,6,2437
KIRIELLA,6,2046
CHILAW,6,7399
MADAMPE,6,1908
MUNDALAMA,6,1216
DANKOTUWA,6,802
MAHAKUMBUKKADAWALA,6,693
WENNAPPUWA,6,2148
PUTTALAM,6,2241
MAHAWEWA,6,190
ANAMADUWA,6,43
ARACHCHIKATTUWA,6,1167
MAHAWEWA,6,3557
NATTANDIYA,6,8407
PUTTALAM,6,143
KARUWALAGASWEWA,6,37
VANATHAVILLUWA,6,40
NUWARA ELIYA,6,301
YATIYANTHOTA,6,38
RUWANWELLA,6,106
RAMBUKKANA,6,12
GALIGAMUWA,6,12
MAWANELLA,6,51
DEHIOVITA,6,31
DERANIYAGALA,6,13
BINGIRIYA,6,496
PANNALA,6,1424
PADUWASNUWARA WEST,6,1
PADUWASNUWARA WEST,6,411
KOBEIGANE,6,54
UDUBADDAWA,6,732
NARAMMALA,6,275
ALAWWA,6,31
KULIYAPITIYA WEST,6,208
EHELIYAGODA,8,7
KURUVITA,8,144
DERANIYAGALA,8,87
ARANAYAKA,8,375
MAWANELLA,8,38
AMBAGAMUWAKORALE,8,229
PASBAGE KORALE,8,1962
GANGA IHALA KORALE,8,180
ELAPATHA,11,32
ELAPATHA,11,22
NUWARA ELIYA,11,13
VALIKAMAM SOUTH -WEST (SANDILI,10,70
ISLAND NORTH(KAYTS),10,4
VALIKAMAM NORTH(TELLIPALLAI),10,15
VALIKAMAM WEST (CHANKANAI),10,158
VADAMARADCHI NORTH (POINT PEDR,10,61
VADAMARADCHI NORTH (POINT PEDR,11,8
VALIKAMAM WEST (CHANKANAI),11,5
VALIKAMAM SOUTH (UDUVIL),11,17
VADAMARADCHI EAST (MARUTHNKERN,11,10
DELFT,11,27
ISLAND SOUTH (VELANAI),11,6
ISLAND NORTH(KAYTS),11,726
KAREINAGAR,11,541
JAFFNA,11,4389
NALLUR,11,4766
VALIKAMAM SOUTH -WEST (SANDILI,11,2752
VALIKAMAM WEST (CHANKANAI),11,3646
VALIKAMAM SOUTH (UDUVIL),11,513
VALIKAMAM NORTH(TELLIPALLAI),11,1643
VALIKAMAM EAST (KOPAY),11,3498
THENMARADCHI (CHAVAKACHCHERI),11,2537
VADAMARADCHI SOUTH-WEST (KARAV,11,3982
VADAMARADCHI NORTH (POINT PEDR,11,5663
VADAMARADCHI EAST (MARUTHNKERN,11,555
JAFFNA,11,17
VALIKAMAM SOUTH -WEST (SANDILI,11,1
KAREINAGAR,11,632
HALI-ELA,10,406
WELIMADA,10,34
ELLA,10,646
HALDUMMULLA,10,32
SORANATHOTA,10,20
PASSARA,10,388
BADULLA,10,1473
BANDARAWELA,10,144
LUNUGALA,10,6
RIDEEMALIYADDA,10,6
UVA PARANAGAMA,10,17
MUNDALAMA,11,27619
KARUWALAGASWEWA,11,1836
WENNAPPUWA,11,3178
VANATHAVILLUWA,11,7509
PUTTALAM,11,43926
MAHAKUMBUKKADAWALA,11,1988
DANKOTUWA,11,746
ANAMADUWA,11,539
MADAMPE,11,4221
ARACHCHIKATTUWA,11,9444
CHILAW,11,26759
KALPITIYA,11,13423
PALLAMA,11,281
NAWAGATTEGAMA,11,17
MAHAWEWA,11,4437
NATTANDIYA,11,4499
MANNAR TOWN,11,16087
NANADHAN,11,39
MANTHAI WEST,11,1092
MANNAR TOWN,11,525
NANADHAN,11,27
MANTHAI WEST,11,88
MUSALAI,11,628
UKUWELA,11,13
MATALE,11,111
RAJANGANAYA,11,75
NOCHCHIYAGAMA,11,145
MAHAVILACHCHIYA,11,323
KARACHCHI,11,35
KANDAVALAI,11,5
POONAKARY,11,7
PACHCHILAIPALLI,11,140
GAMPAHA,11,4
RAJANGANAYA,11,766
NOCHCHIYAGAMA,11,1422
MAHAVILACHCHIYA,11,426
THAMBUTTEGAMA,11,80
NUWARAGAM PALATHA CENTRAL,11,1123
PANDUWASNUWARA EAST,11,4
NARAMMALA,11,3
RIDEEGAMA,11,34
POLGAHAWELA,11,700
ALAWWA,11,49
UDUBADDAWA,11,9
PANNALA,11,316
BINGIRIYA,11,54
WEERAMBUGEDARA,11,15
KORALAI PATTU NORTH(VAKARAI),11,2
PUTHUKUDIYIRUPPU,11,122
WELI OYA,11,18
ODDUSUDDAN,11,17
MANTHAI EAST,11,142
ISLAND SOUTH (VELANAI),11,13
ISLAND NORTH(KAYTS),11,65
THENMARADCHI (CHAVAKACHCHERI),11,128
VALIKAMAM SOUTH (UDUVIL),11,24
VAVUNIYA(TAMIL),11,42
VAVUNIYA NORTH,11,103
VAVUNIYA SOUTH,11,3
VENGALACHEDDIKULAM,11,76
WENNAPPUWA,11,140
KALPITIYA,11,3776
PALLAMA,11,178
CHILAW,11,3223
ARACHCHIKATTUWA,11,613
PACHCHILAIPALLI,11,649
KARACHCHI,11,15
KANDAVALAI,11,19
MANNAR TOWN,11,43669
NANADHAN,11,20
SIYAMBALANDUWA,11,60
ANAMADUWA,11,5
KARUWALAGASWEWA,11,80
ARACHCHIKATTUWA,11,837
VALIKAMAM WEST (CHANKANAI),11,6
ISLAND SOUTH (VELANAI),11,12
THENMARADCHI (CHAVAKACHCHERI),11,326
VADAMARADCHI NORTH (POINT PEDR,11,32
WARAKAPOLA,11,202
THAMBALAGAMUWA,12,172
NANADHAN,12,24
PACHCHILAIPALLI,1,408
VALIKAMAM SOUTH -WEST (SANDILI,1,5
ERAVUR PATTU (CHENKALADY),1,692
MANMUNAI PATTU (ARAIPATTAI),1,10
MANMUNAI SOUTH - WEST (PEDDIPE,1,77
MANMUNAI SOUTH & ERUVILPATTU (,1,13
PORATIVU PATTU (ELLAVUL),1,90
KINNIYA,1,317
KANTHALAI,1,2
THAMBALAGAMUWA,1,321
TRINCOMALEE TOWN AND GRAVETS,1,4
DEHIOVITA,11,37
KARACHCHI,3,61
BALANGODA,3,27
KOLONNA,4,14
RATNAPURA,5,1014
RATNAPURA,5,3450
ELAPATHA,5,1422
AYAGAMA,5,135
KALAWANA,5,69
PELMADULLA,5,199
KURUVITA,5,268
NIVITHIGALA,5,17
KIRIELLA,5,166
BULATHSINHALA,5,97
KEGALLE,5,3
PUTTALAM,5,20542
PALLAMA,5,82
PUTTALAM,5,3055
MUNDALAMA,5,5
MAHAKUMBUKKADAWALA,5,10
MAHARA,5,177
SRI JAYAWARDANAPURA KOTTE,5,175
KADUWELA,5,362
PALINDANUWARA,5,8
BULATHSINHALA,5,82
BIYAGAMA,6,2426
KELANIYA,6,8199
DEHIOVITA,5,71
KOLONNAWA,6,3511
PASBAGE KORALE,7,95
KOTHMALE,8,27
KOTHMALE,8,9
AMBAGAMUWAKORALE,8,375
AMBAGAMUWAKORALE,8,202
NUWARA ELIYA,8,657
NUWARA ELIYA,8,12
ELAPATHA,8,606
NIVITHIGALA,8,48
KAHAWATTA,8,46
PASBAGE KORALE,8,3955
WALASMULLA,8,3
YATIYANTHOTA,8,77
DEHIOVITA,8,11
DERANIYAGALA,8,3
PASBAGE KORALE,8,50
ELAPATHA,8,232
KURUVITA,9,351
AYAGAMA,9,17
KIRIELLA,9,49
DEHIOVITA,9,831
RUWANWELLA,9,907
YATIYANTHOTA,9,86
WARAKAPOLA,9,56
RAMBUKKANA,9,90
GALIGAMUWA,9,25
POLGAHAWELA,9,30
BAMUNUKOTUWA,9,7
WEERAMBUGEDARA,9,35
PANNALA,9,266
ALAWWA,9,35
MAWATHAGAMA,9,6
MALLAWAPITIYA,9,23
NARAMMALA,9,250
MASPOTHA,9,24
IBBAGAMUWA,9,50
RIDEEGAMA,9,11
WARIYAPOLA,9,8
DANKOTUWA,9,7
ATTANAGALLA,9,15
MIRIGAMA,9,81
BIYAGAMA,9,1598
MINUWANGODA,9,3
DOMPE,9,132
DIVULAPITIYA,9,137
MAHARA,9,4
GAMPAHA,9,9
KELANIYA,9,3906
HANWELLA,9,571
COLOMBO,9,106
KADUWELA,9,115
KOLONNAWA,9,782
BULATHSINHALA,9,17
LAGGALA-PALLEGAMA,9,6
KELANIYA,10,10274
MAHARA,10,683
KATANA,10,1230
JA-ELA,10,5047
JA-ELA,10,287
GAMPAHA,10,1806
WATTALA,10,21143
WATTALA,10,5481
MINUWANGODA,10,92
ATTANAGALLA,10,410
MIRIGAMA,10,6
KELANIYA,10,6494
GAMPAHA,10,15
KOLONNAWA,10,10389
RATNAPURA,10,5
ELAPATHA,10,56
KURUVITA,10,239
WARAKAPOLA,10,7
DEHIOVITA,10,182
KANDY FOUR GRAVETS & GANGAWATA,11,14
NUWARA ELIYA,10,23
VALIKAMAM SOUTH -WEST (SANDILI,10,37
VALIKAMAM SOUTH -WEST (SANDILI,11,5
VALIKAMAM SOUTH (UDUVIL),11,5
VALIKAMAM EAST (KOPAY),11,11
VADAMARADCHI NORTH (POINT PEDR,11,714
MUNDALAMA,11,18
KOLONNA,11,2
MANMUNAI NORTH (BATTI TOWN),11,3
MANMUNAI NORTH (BATTI TOWN),11,11
MANMUNAI WEST(VAVUNATHEIVU),11,386
PACHCHILAIPALLI,11,28
PACHCHILAIPALLI,11,42
KARACHCHI,11,12
KANDAVALAI,11,359
VALIKAMAM SOUTH -WEST (SANDILI,12,4
NALLUR,12,3
ERAVUR PATTU (CHENKALADY),12,2
MAWANELLA,12,168
RAMBUKKANA,12,46
ARANAYAKA,12,3
VAVUNIYA(TAMIL),2,31
VAVUNIYA(TAMIL),2,4
VENGALACHEDDIKULAM,2,21
VENGALACHEDDIKULAM,2,7
ALAYADIWEMBU,3,1147
VAVUNIYA(TAMIL),2,35
VENGALACHEDDIKULAM,2,28
YATIYANTHOTA,3,20
GALIGAMUWA,3,11
VAVUNIYA NORTH,3,4
ELAPATHA,4,3
KIRIELLA,4,4
KANDAVALAI,4,1
ODDUSUDDAN,4,3
MANTHAI EAST,4,3
NIVITHIGALA,4,9
KURUVITA,4,252
AMBAGAMUWAKORALE,4,52
ANAMADUWA,4,24
NAWAGATTEGAMA,4,11
MUNDALAMA,4,3
EHELIYAGODA,4,14
PASSARA,5,4
VANATHAVILLUWA,5,331
INGIRIYA,5,5
KATANA,5,3630
KOBEIGANE,5,30
UDUBADDAWA,5,5
KOTAVEHERA,5,3
ARACHCHIKATTUWA,5,282
DANKOTUWA,5,10
KOTAPOLA,5,2250
PASGODA,5,260
KAMBURUPITIYA,5,1326
MULATIYANA,5,1625
ATHURALIYA,5,3747
PITABEDDARA,5,2128
AKURESSA,5,1682
JAFFNA,5,2
BALANGODA,5,4
THISSAMAHARAMA,5,4
NELUWA,5,46
NAGODA,5,62
BADDEGAMA,5,5
HIKKADUWA,5,4
KARANDENIYA,5,3
GOONAPEENUWALA,5,4
THAWALAMA,5,183
MATARA FOUR GRAVETS,5,425
THIHAGODA,5,649
NATTANDIYA,5,1
NIYAGAMA,5,14
ELPITIYA,5,33
MATARA FOUR GRAVETS,5,1103
BELIATTA,5,20
KALAWANA,6,61
ELAPATHA,6,17
GODAKAWELA,6,6
KURUVITA,6,29
ELAPATHA,6,89
NIVITHIGALA,6,21
DEHIOVITA,6,17
DERANIYAGALA,6,119
WALALLAVITA,9,30
RATNAPURA,9,185
AYAGAMA,9,27
KIRIELLA,9,48
ELAPATHA,9,272
MILLANIYA,9,395
INGIRIYA,9,13
DODANGODA,9,12
MADURAWALA,9,37
AKURESSA,9,686
THIHAGODA,9,443
MALIMBADA,9,235
DEVINUWARA,9,48
WELIPITIYA,9,252
KAMBURUPITIYA,9,705
ATHURALIYA,9,472
KIRINDA PUHULWELLA,9,13
PASGODA,9,25
HAKMANA,9,8
MATARA FOUR GRAVETS,9,269
PITABEDDARA,9,21
MULATIYANA,9,20
KOTAPOLA,9,34
DICKWELLA,9,9
WELIPITIYA,9,7
BALANGODA,9,4
PELMADULLA,9,61
KAHAWATTA,9,76
NUWARA ELIYA,9,5
AMBAGAMUWAKORALE,9,12
PADUWASNUWARA WEST,9,4
DOMPE,9,105
GAMPAHA,9,303
WATTALA,9,31734
MADURAWALA,9,161
ATTANAGALLA,10,84
WATTALA,10,11848
WATTALA,10,818
MIRIGAMA,10,9
RAMBUKKANA,10,4
DEHIOVITA,10,2
YATIYANTHOTA,10,15
PANADURA,10,387
MAHARA,10,11
KATANA,10,2581
KELANIYA,10,4845
BIYAGAMA,10,7
NAGODA,10,361
BENTHOTA,10,36
BALAPITIYA,10,52
BOPE-PODDALA,10,210
KARANDENIYA,10,48
GOONAPEENUWALA,9,5
AMBALANGODA,10,38
NIYAGAMA,10,9
AKMEEMANA,10,25
HIKKADUWA,10,17
JA-ELA,10,2442
ELPITIYA,10,221
WELIVITIYA-DIVITHURA,10,420
THAWALAMA,10,36
YAKKALAMULLA,10,60
HABARADUWA,10,4878
BADDEGAMA,10,2051
NEGOMBO,10,2213
IMADUWA,10,211
COLOMBO,10,202
MAHARA,10,495
BANDARAWELA,10,108
BADULLA,10,84
RIDEEMALIYADDA,10,11
PASSARA,10,40
HALDUMMULLA,10,1308
KOTHMALE,10,18
BADULLA,10,63
BELIATTA,10,31
BUTTALA,10,26
BINGIRIYA,10,16
KULIYAPITIYA EAST,10,29
UDUBADDAWA,10,53
DANKOTUWA,10,199
UDAPALATHA,10,21
THUMPANE,10,14
YATIYANTHOTA,10,5
NARAMMALA,10,24
MAWANELLA,10,13
NIKAWERATIYA,10,4
BAMUNUKOTUWA,10,25
ARACHCHIKATTUWA,11,80
NATTANDIYA,11,151
NATTANDIYA,11,507
GAMPAHA,11,912
MINUWANGODA,11,187
ATTANAGALLA,11,1040
KATANA,11,369
JA-ELA,11,1104
WATTALA,11,8019
WARAKAPOLA,11,4
MUNDALAMA,11,1684
HOROWPOTHANA,11,157
JA-ELA,11,702
KOTAVEHERA,11,3
MINUWANGODA,11,6
ARACHCHIKATTUWA,11,1899
GODAKAWELA,11,3
ATTANAGALLA,11,25
ATTANAGALLA,11,109
MINUWANGODA,11,36
KULIYAPITIYA WEST,11,17
MUNDALAMA,11,3460
MAHAWEWA,11,408
KALPITIYA,11,574
GAMPAHA,11,1005
MINUWANGODA,11,66
ATTANAGALLA,11,717
UDUNUWARA,11,46
KURUNEGALA,11,378
VADAMARADCHI NORTH (POINT PEDR,11,211
VALIKAMAM WEST (CHANKANAI),11,1284
KARACHCHI,11,55
VALIKAMAM EAST (KOPAY),11,870
VALIKAMAM SOUTH (UDUVIL),9,9
THENMARADCHI (CHAVAKACHCHERI),11,90
VALIKAMAM NORTH(TELLIPALLAI),11,43
JAFFNA,11,27
VALIKAMAM SOUTH -WEST (SANDILI,11,198
NALLUR,11,5
VADAMARADCHI SOUTH-WEST (KARAV,11,635
RAMBUKKANA,11,6
AMBANPOLA,11,99
IBBAGAMUWA,11,377
UDUBADDAWA,11,162
ALAWWA,11,229
GANEWATTA,11,269
POLGAHAWELA,11,426
NARAMMALA,11,414
PANNALA,11,308
POLGAHAWELA,11,8
KATANA,11,213
KOLONNA,11,184
BALANGODA,11,491
NIVITHIGALA,11,110
ATTANAGALLA,11,1609
MINUWANGODA,11,373
GAMPAHA,11,1756
VALIKAMAM WEST (CHANKANAI),11,5
BAMUNUKOTUWA,11,4
PUTTALAM,11,998
WATTALA,11,3805
MAWANELLA,11,2
PUTHUKUDIYIRUPPU,12,13
KUCHCHAVELI,12,78
ISLAND NORTH(KAYTS),12,1
ODDUSUDDAN,12,8
MARITIMEPATTU,12,197
OPANAYAKA,12,6
MUNDALAMA,12,14
ARACHCHIKATTUWA,12,66
MUNDALAMA,12,1826
VADAMARADCHI NORTH (POINT PEDR,12,3
THENMARADCHI (CHAVAKACHCHERI),12,5
KEGALLE,12,5
KANDAVALAI,12,140
PALINDANUWARA,12,24
MATHUGAMA,12,8
MUNDALAMA,12,225
KORALAI PATTU SOUTH (KIRAN),12,271
KORALAI PATTU NORTH(VAKARAI),12,913
NANADHAN,12,4
PORATIVU PATTU (ELLAVUL),12,142
THAMBALAGAMUWA,12,32
TRINCOMALEE TOWN AND GRAVETS,12,23
MANMUNAI SOUTH - WEST (PEDDIPE,12,157
VALIKAMAM EAST (KOPAY),12,1157
VALIKAMAM SOUTH (UDUVIL),12,6
THENMARADCHI (CHAVAKACHCHERI),12,223
VALIKAMAM SOUTH -WEST (SANDILI,12,297
VADAMARADCHI NORTH (POINT PEDR,12,712
VALIKAMAM WEST (CHANKANAI),12,2688
VALIKAMAM NORTH(TELLIPALLAI),12,439
VADAMARADCHI SOUTH-WEST (KARAV,12,144
KAREINAGAR,12,119
ISLAND SOUTH (VELANAI),12,58
ISLAND NORTH(KAYTS),12,940
THAMBALAGAMUWA,12,2
KINNIYA,12,9
PADAVI SRI PURA,12,6
KUCHCHAVELI,12,7
MORAWEWA,12,5
GOMARANKADAWALA,12,37
MUTTUR,12,19
TRINCOMALEE TOWN AND GRAVETS,12,2207
KINNIYA,12,296
PADAVI SRI PURA,12,69
KARATIVU,12,3865
AMPARA,12,45
POTHUVIL,12,9777
IPALOGAMA,12,9
GALNEWA,12,24
KINNIYA,12,297
SAMANTHURAI,12,222
SAYINTHAMARATHU,12,22
MEEGAHAKIVULA,12,14
VERUGAL/ ECHCHALAMPATTAI,12,480
WILGAMUWA,1,51
MUNDALAMA,1,315
ANAMADUWA,1,4
NAWAGATTEGAMA,1,7
PALLAMA,1,1
SERUVILA,1,32
NUWARAGAM PALATHA EAST,1,20
HAMBANTOTA,1,256
DERANIYAGALA,1,2
PALUGASWEWA,1,126
THISSAMAHARAMA,1,296
LUNUGAMVEHERA,1,32
KARATIVU,1,7380
POTHUVIL,1,26285
ADDALACHCHENAI,1,30367
AMPARA,1,2572
LAHUGALA,1,8358
SAMANTHURAI,1,4422
SAYINTHAMARATHU,1,511
DAMANA,1,1124
MANMUNAI WEST(VAVUNATHEIVU),1,47
KORALAI PATTU NORTH(VAKARAI),1,1207
PORATIVU PATTU (ELLAVUL),1,1153
KATTANKUDY,1,4875
ERAVUR PATTU (CHENKALADY),1,8612
MANMUNAI SOUTH - WEST (PEDDIPE,1,293
KORALAI PATTU NORTH(VAKARAI),1,6426
KORALAI PATTU (VALACHCHENAI),1,6426
KORALAI PATTU SOUTH (KIRAN),1,7192
KORALAI PATTU WEST (ODDAMAVADI,1,1653
KORALAI PATTU CENTRAL,1,603
MANMUNAI WEST(VAVUNATHEIVU),1,32
MANMUNAI SOUTH - WEST (PEDDIPE,1,1674
MANMUNAI SOUTH - WEST (PEDDIPE,1,1674
ERAVUR TOWN (ERAVUR),1,3617
KATHARAGAMA,1,137
THAMANKADUWA,1,685
MUTTUR,1,778
VERUGAL/ ECHCHALAMPATTAI,1,87
THAMBALAGAMUWA,1,43
KUCHCHAVELI,1,12
SERUVILA,1,37
TRINCOMALEE TOWN AND GRAVETS,1,17
MAHAOYA,1,90
KALMUNAI,1,1328
NINTHAVUR,1,6084
ALAYADIWEMBU,1,18687
UHANA,1,399
ERAGAMA,1,536
NAVITHANVELI,1,15
PADIYATHALAWA,1,119
IPALOGAMA,1,11
MAHIYANGANAYA,1,8
HAMBANTOTA,1,586
SIYAMBALANDUWA,1,33
MUNDALAMA,1,807
NAWAGATTEGAMA,1,46
SERUVILA,1,30
DEHIATTAKANDIYA,1,7
RAJANGANAYA,1,75
GALGAMUWA,1,54
MEDIRIGIRIYA,1,173
HINGURAKGODA,1,101
MEDIRIGIRIYA,1,173
HINGURAKGODA,1,101
LANKAPURA,1,46
VANATHAVILLUWA,1,392
VERUGAL/ ECHCHALAMPATTAI,1,341
KINNIYA,1,483
SERUVILA,1,130
KANTHALAI,1,3
NIVITHIGALA,1,3
